        71;1640778001.037451;1640778001.035749
        63;1640778001.038626;1640778001.036382
        92;1640778001.039054;1640778001.037399
        71;1640778001.040338;1640778001.039028
        69;1640778001.040614;1640778001.03968
        70;1640778001.042534;1640778001.040602
        94;1640778001.042978;1640778001.04121
        71;1640778001.043771;1640778001.042936
        74;1640778001.04556;1640778001.043697
        65;1640778001.046029;1640778001.044389
        68;1640778001.047937;1640778001.046003
        88;1640778001.048426;1640778001.046705
        65;1640778001.050285;1640778001.048394
        74;1640778001.051515;1640778001.049096
        72;1640778001.052069;1640778001.050241
        91;1640778001.052928;1640778001.052043
        86;1640778001.053644;1640778001.052805
        71;1640778001.055001;1640778001.053602
        78;1640778001.056012;1640778001.054936
        89;1640778001.056826;1640778001.055963
        76;1640778001.057609;1640778001.056752
        75;1640778001.058374;1640778001.057534
        63;1640778001.05919;1640778001.05833
        98;1640778001.060205;1640778001.059135
        61;1640778001.061187;1640778001.060179
        67;1640778001.062878;1640778001.060953
        78;1640778001.063427;1640778001.061714
        96;1640778001.064201;1640778001.063358
        79;1640778001.065011;1640778001.064187
        61;1640778001.065825;1640778001.064971
        73;1640778001.066676;1640778001.065821
        95;1640778001.067519;1640778001.066616
        69;1640778001.068667;1640778001.06739
        69;1640778001.069431;1640778001.068584
        81;1640778001.070193;1640778001.069381
        89;1640778001.070957;1640778001.070166
        74;1640778001.071759;1640778001.070915
        91;1640778001.072541;1640778001.071729
        72;1640778001.073308;1640778001.072489
        60;1640778001.074042;1640778001.073237
        96;1640778001.074843;1640778001.074013
        93;1640778001.07576;1640778001.074808
        66;1640778001.076556;1640778001.075741
        70;1640778001.077341;1640778001.076529
        97;1640778001.07812;1640778001.077289
        76;1640778001.078934;1640778001.078083
        60;1640778001.080012;1640778001.078862
        94;1640778001.080826;1640778001.079985
        97;1640778001.081575;1640778001.080742
        78;1640778001.082365;1640778001.081554
        76;1640778001.083167;1640778001.082357
        63;1640778001.08414;1640778001.083086
        76;1640778001.08494;1640778001.084115
        67;1640778001.085768;1640778001.084887
        82;1640778001.087155;1640778001.08569
        78;1640778001.087711;1640778001.086485
        69;1640778001.088549;1640778001.087684
        90;1640778001.089379;1640778001.08846
        76;1640778001.091323;1640778001.089347
        92;1640778001.091934;1640778001.090135
        88;1640778001.092785;1640778001.091909
        69;1640778001.093548;1640778001.092697
        82;1640778001.094311;1640778001.093506
        77;1640778001.095094;1640778001.094262
        88;1640778001.095987;1640778001.09507
        95;1640778001.09682;1640778001.095922
        75;1640778001.097581;1640778001.096746
        77;1640778001.098357;1640778001.097521
        96;1640778001.099121;1640778001.098294
        99;1640778001.100026;1640778001.099087
        84;1640778001.100842;1640778001.099936
        83;1640778001.101801;1640778001.100726
        80;1640778001.102611;1640778001.101756
        63;1640778001.103958;1640778001.102555
        68;1640778001.105787;1640778001.103931
        90;1640778001.106309;1640778001.104688
        66;1640778001.10717;1640778001.106283
        86;1640778001.108102;1640778001.107093
        83;1640778001.109962;1640778001.108075
        96;1640778001.110458;1640778001.108828
        92;1640778001.111278;1640778001.110432
        91;1640778001.112312;1640778001.111217
        93;1640778001.113335;1640778001.112284
        71;1640778001.114155;1640778001.113307
        83;1640778001.114936;1640778001.114131
        76;1640778001.115799;1640778001.114904
       100;1640778001.117877;1640778001.11579
        73;1640778001.11824;1640778001.116522
        62;1640778001.119239;1640778001.117243
        96;1640778001.120506;1640778001.118216
        62;1640778001.12102;1640778001.119207
        84;1640778001.121901;1640778001.120995
        94;1640778001.122874;1640778001.121805
        93;1640778001.12377;1640778001.122847
        71;1640778001.124526;1640778001.123725
        65;1640778001.12531;1640778001.124504
        80;1640778001.126074;1640778001.125291
        85;1640778001.126863;1640778001.126066
        87;1640778001.127877;1640778001.126849
        60;1640778001.128824;1640778001.127851
        90;1640778001.129571;1640778001.128798
        64;1640778001.130347;1640778001.129565
        82;1640778001.131109;1640778001.130343
        63;1640778001.132154;1640778001.131086
        96;1640778001.133119;1640778001.132127
        72;1640778001.134021;1640778001.133095
        60;1640778001.134718;1640778001.133916
        97;1640778001.13556;1640778001.134707
        88;1640778001.136306;1640778001.135542
        65;1640778001.137275;1640778001.136295
        93;1640778001.138258;1640778001.137249
        95;1640778001.139195;1640778001.138231
        60;1640778001.140602;1640778001.139169
        73;1640778001.141754;1640778001.140939
        63;1640778001.142498;1640778001.141732
        99;1640778001.14332;1640778001.142482
        63;1640778001.144357;1640778001.143318
       100;1640778001.14531;1640778001.144331
        62;1640778001.146054;1640778001.145266
        61;1640778001.146801;1640778001.146043
        79;1640778001.147854;1640778001.146794
        92;1640778001.14862;1640778001.147827
        62;1640778001.150556;1640778001.14861
        71;1640778001.151089;1640778001.149358
        84;1640778001.152122;1640778001.151063
        69;1640778001.15288;1640778001.152096
        95;1640778001.154002;1640778001.152869
        97;1640778001.154963;1640778001.153974
        97;1640778001.155837;1640778001.154936
        92;1640778001.156826;1640778001.155836
        91;1640778001.157666;1640778001.156797
        90;1640778001.158418;1640778001.157601
        88;1640778001.15924;1640778001.158403
        74;1640778001.160042;1640778001.159168
        70;1640778001.160807;1640778001.160019
        82;1640778001.161762;1640778001.160791
        91;1640778001.162707;1640778001.161736
        98;1640778001.163675;1640778001.16268
        66;1640778001.164603;1640778001.163649
        75;1640778001.165536;1640778001.164577
        62;1640778001.16763;1640778001.165487
        75;1640778001.168138;1640778001.166409
        94;1640778001.168959;1640778001.168112
        75;1640778001.169882;1640778001.168908
        84;1640778001.170853;1640778001.169856
        85;1640778001.171894;1640778001.170826
        89;1640778001.172848;1640778001.171868
